Date,OCR,Consumer Price Index (CPI),Consumer Price Index (CPI) Quarterly % Change,Consumer Price Index (CPI) Annual % Change,House Price Index,Gross Domestic Product ($m),Gross Domestic Product Annual % change,Government spending GDP ($m),Consumption GDP ($m),Unemployment Rate (%),Unemployment Rate Quarterly Change
2000-03-31,5.416666666666667,683,0.2,0.5,705,37352,6.2,6970,20569,6.4,-0.5999999999999996
2000-06-30,6.333333333333333,687,0.7,1.5,705,37895,6.3,6942,20470,6.5,0.09999999999999964
2000-09-30,6.5,692,0.7,2.0,698,37906,5.5,6842,20809,6.3,-0.20000000000000018
2000-12-31,6.5,702,1.4,3.0,697,38055,3.3,6953,20887,6.0,-0.2999999999999998
2001-03-31,6.416666666666667,710,1.2,4.0,697,38124,2.1,7010,20762,5.8,-0.20000000000000018
2001-06-30,5.833333333333333,708,-0.2,3.1,701,38254,0.9,7152,20772,5.5,-0.2999999999999998
2001-09-30,5.583333333333333,715,0.9,3.2,700,38793,2.3,7252,21147,5.4,-0.09999999999999964
2001-12-31,4.916666666666667,719,0.6,2.4,706,39082,2.8,7257,21390,5.4,0.0
2002-03-31,4.833333333333333,723,0.6,1.8,718,39660,4.0,7251,21510,5.6,0.1999999999999993
2002-06-30,5.416666666666667,727,0.6,2.6,737,40000,4.5,7290,21387,5.3,-0.2999999999999998
2002-09-30,5.75,734,1.0,2.8,752,40529,4.5,7356,21917,5.3,0.0
2002-12-31,5.75,738,0.5,2.6,773,41011,5.0,7373,22278,5.5,0.20000000000000018
2003-03-31,5.75,742,0.6,2.7,801,41585,4.8,7376,22589,5.1,-0.40000000000000036
2003-06-30,5.416666666666667,745,0.4,2.5,842,41841,4.5,7397,22949,5.0,-0.09999999999999964
2003-09-30,5.0,745,0.0,1.5,871,42042,3.9,7531,23205,4.8,-0.20000000000000018
2003-12-31,5.0,748,0.5,1.5,938,42949,4.8,7749,23486,4.5,-0.2999999999999998
2004-03-31,5.25,754,0.7,1.6,1000,43513,4.5,7866,24025,4.7,0.20000000000000018
2004-06-30,5.583333333333333,757,0.4,1.5,1041,44259,5.7,7927,24570,4.3,-0.40000000000000036
2004-09-30,6.083333333333333,763,0.8,2.4,1066,44646,6.3,7979,24441,4.2,-0.09999999999999964
2004-12-31,6.5,767,0.6,2.5,1091,44782,4.3,8022,25134,3.9,-0.30000000000000027
2005-03-31,6.583333333333333,774,0.9,2.7,1125,44951,3.2,8182,25346,3.7,-0.19999999999999973
2005-06-30,6.75,778,0.4,2.8,1180,45474,2.7,8348,25450,3.9,0.19999999999999973
